event,map,maps_played,atk_win_rate,def_win_rate,agent,pick_rate
americas_stage_1,Pearl,7,0.56,0.44,raze,0.0
americas_stage_1,Pearl,7,0.56,0.44,harbor,0.07
americas_stage_1,Pearl,7,0.56,0.44,tejo,0.36
americas_stage_1,Pearl,7,0.56,0.44,brimstone,0.0
americas_stage_1,Pearl,7,0.56,0.44,cypher,0.0
americas_stage_1,Pearl,7,0.56,0.44,kayo,0.14
americas_stage_1,Pearl,7,0.56,0.44,veto,0.07
americas_stage_1,Pearl,7,0.56,0.44,jett,0.0
americas_stage_1,Pearl,7,0.56,0.44,waylay,0.21
americas_stage_1,Pearl,7,0.56,0.44,breach,0.0
americas_stage_1,Pearl,7,0.56,0.44,iso,0.0
americas_stage_1,Pearl,7,0.56,0.44,sage,0.0
americas_stage_1,Pearl,7,0.56,0.44,deadlock,0.0
americas_stage_1,Pearl,7,0.56,0.44,miks,0.0
americas_stage_1,Pearl,7,0.56,0.44,reyna,0.0
americas_stage_1,Pearl,7,0.56,0.44,gekko,0.0
americas_stage_1,Pearl,7,0.56,0.44,clove,0.0
americas_stage_1,Pearl,7,0.56,0.44,yoru,0.0
americas_stage_1,Split,7,0.47,0.53,neon,0.71
americas_stage_1,Split,7,0.47,0.53,viper,0.71
americas_stage_1,Split,7,0.47,0.53,omen,0.71
americas_stage_1,Split,7,0.47,0.53,sova,0.0
americas_stage_1,Split,7,0.47,0.53,fade,0.64
americas_stage_1,Split,7,0.47,0.53,vyse,0.57
americas_stage_1,Split,7,0.47,0.53,astra,0.29
americas_stage_1,Split,7,0.47,0.53,phoenix,0.07
americas_stage_1,Split,7,0.47,0.53,chamber,0.0
americas_stage_1,Split,7,0.47,0.53,killjoy,0.0
americas_stage_1,Split,7,0.47,0.53,skye,0.36
americas_stage_1,Split,7,0.47,0.53,raze,0.43
americas_stage_1,Split,7,0.47,0.53,harbor,0.14
americas_stage_1,Split,7,0.47,0.53,tejo,0.0
americas_stage_1,Split,7,0.47,0.53,brimstone,0.0
americas_stage_1,Split,7,0.47,0.53,cypher,0.07
americas_stage_1,Split,7,0.47,0.53,kayo,0.0
americas_stage_1,Split,7,0.47,0.53,veto,0.0
americas_stage_1,Split,7,0.47,0.53,jett,0.07
americas_stage_1,Split,7,0.47,0.53,waylay,0.0
americas_stage_1,Split,7,0.47,0.53,breach,0.0
americas_stage_1,Split,7,0.47,0.53,iso,0.0
americas_stage_1,Split,7,0.47,0.53,sage,0.14
americas_stage_1,Split,7,0.47,0.53,deadlock,0.07
americas_stage_1,Split,7,0.47,0.53,miks,0.0
americas_stage_1,Split,7,0.47,0.53,reyna,0.0
americas_stage_1,Split,7,0.47,0.53,gekko,0.0
americas_stage_1,Split,7,0.47,0.53,clove,0.0
americas_stage_1,Split,7,0.47,0.53,yoru,0.0
americas_stage_1,Lotus,6,0.43,0.57,neon,0.83
americas_stage_1,Lotus,6,0.43,0.57,viper,0.83
americas_stage_1,Lotus,6,0.43,0.57,omen,1.0
americas_stage_1,Lotus,6,0.43,0.57,sova,0.0
americas_stage_1,Lotus,6,0.43,0.57,fade,1.0
americas_stage_1,Lotus,6,0.43,0.57,vyse,0.83
americas_stage_1,Lotus,6,0.43,0.57,astra,0.0
