map,agent,maps_played,events_count,pick_rate,atk_side_rate,def_side_rate,agent_picks,total_compositions,pick_rate_from_comps,side_delta,sample_confidence,observed,agent_presence_score
Haven,waylay,39.0,4.0,0.21974358974358976,0.5225641025641027,0.4774358974358975,,,,0.0451,1.0,True,33.18
Haven,chamber,39.0,4.0,0.18256410256410258,0.5225641025641027,0.4774358974358975,,,,0.0451,1.0,True,30.95
Haven,skye,39.0,4.0,0.17769230769230768,0.5225641025641027,0.4774358974358975,,,,0.0451,1.0,True,30.66
Haven,fade,39.0,4.0,0.15461538461538463,0.5225641025641027,0.4774358974358975,,,,0.0451,1.0,True,29.28
Haven,jett,39.0,4.0,0.11384615384615383,0.5225641025641027,0.4774358974358975,,,,0.0451,1.0,True,26.83
Haven,astra,39.0,4.0,0.06435897435897435,0.5225641025641027,0.4774358974358975,,,,0.0451,1.0,True,23.86
Haven,vyse,39.0,4.0,0.053076923076923084,0.5225641025641027,0.4774358974358975,,,,0.0451,1.0,True,23.18
Haven,deadlock,39.0,4.0,0.05076923076923077,0.5225641025641027,0.4774358974358975,,,,0.0451,1.0,True,23.05
Haven,breach,39.0,4.0,0.03923076923076923,0.5225641025641027,0.4774358974358975,,,,0.0451,1.0,True,22.35
Haven,tejo,39.0,4.0,0.014102564102564105,0.5225641025641027,0.4774358974358975,,,,0.0451,1.0,True,20.85
Haven,veto,39.0,4.0,0.014102564102564105,0.5225641025641027,0.4774358974358975,,,,0.0451,1.0,True,20.85
Haven,brimstone,39.0,4.0,0.0,0.5225641025641027,0.4774358974358975,,,,0.0451,1.0,True,20.0
Haven,clove,39.0,4.0,0.0,0.5225641025641027,0.4774358974358975,,,,0.0451,1.0,True,20.0
Haven,gekko,39.0,4.0,0.0,0.5225641025641027,0.4774358974358975,,,,0.0451,1.0,True,20.0
Haven,harbor,39.0,4.0,0.0,0.5225641025641027,0.4774358974358975,,,,0.0451,1.0,True,20.0
Haven,iso,39.0,4.0,0.0,0.5225641025641027,0.4774358974358975,,,,0.0451,1.0,True,20.0
Haven,kayo,39.0,4.0,0.0,0.5225641025641027,0.4774358974358975,,,,0.0451,1.0,True,20.0
Haven,miks,39.0,4.0,0.0,0.5225641025641027,0.4774358974358975,,,,0.0451,1.0,True,20.0
Haven,raze,39.0,4.0,0.0,0.5225641025641027,0.4774358974358975,,,,0.0451,1.0,True,20.0
Haven,reyna,39.0,4.0,0.0,0.5225641025641027,0.4774358974358975,,,,0.0451,1.0,True,20.0
Haven,sage,39.0,4.0,0.0,0.5225641025641027,0.4774358974358975,,,,0.0451,1.0,True,20.0
Haven,yoru,39.0,4.0,0.0,0.5225641025641027,0.4774358974358975,,,,0.0451,1.0,True,20.0
Lotus,omen,45.0,4.0,1.0,0.5286666666666666,0.474,,,,0.0547,1.0,True,80.0
Lotus,fade,45.0,4.0,0.8786666666666666,0.5286666666666666,0.474,,,,0.0547,1.0,True,72.72
Lotus,neon,45.0,4.0,0.7786666666666668,0.5286666666666666,0.474,,,,0.0547,1.0,True,66.72
