event,map,match_id,team,opponent,agents,agents_count,observed
china_stage_1,HAVEN,china_stage_1_haven_all_gamers_jdg_esports,JDG Esports,All Gamers,"chamber,cypher,neon,omen,sova",5,True
china_stage_1,HAVEN,china_stage_1_haven_bilibili_gaming_jdg_esports,JDG Esports,Bilibili Gaming,"killjoy,neon,omen,sova,viper",5,True
china_stage_1,HAVEN,china_stage_1_haven_edward_gaming_jdg_esports,JDG Esports,EDward Gaming,"cypher,neon,omen,sova,waylay",5,True
china_stage_1,HAVEN,china_stage_1_haven_jdg_esports_titan_esports_club,JDG Esports,Titan Esports Club,"cypher,neon,omen,sova,waylay",5,True
china_stage_1,HAVEN,china_stage_1_haven_jdg_esports_tyloo,JDG Esports,TYLOO,"cypher,neon,omen,sova,waylay",5,True
china_stage_1,HAVEN,china_stage_1_haven_dragon_ranger_gaming_nova_esports,Nova Esports,Dragon Ranger Gaming,"killjoy,neon,omen,sova,viper",5,True
china_stage_1,HAVEN,china_stage_1_haven_nova_esports_xi_lai_gaming,Nova Esports,Xi Lai Gaming,"killjoy,neon,omen,sova,viper",5,True
china_stage_1,HAVEN,china_stage_1_haven_all_gamers_tyloo,TYLOO,All Gamers,"killjoy,neon,omen,sova,viper",5,True
china_stage_1,HAVEN,china_stage_1_haven_dragon_ranger_gaming_tyloo,TYLOO,Dragon Ranger Gaming,"cypher,neon,omen,sova,waylay",5,True
china_stage_1,HAVEN,china_stage_1_haven_jdg_esports_tyloo,TYLOO,JDG Esports,"cypher,neon,omen,sova,viper",5,True
china_stage_1,HAVEN,china_stage_1_haven_jdg_esports_titan_esports_club,Titan Esports Club,JDG Esports,"cypher,neon,omen,sova,waylay",5,True
china_stage_1,HAVEN,china_stage_1_haven_edward_gaming_trace_esports,Trace Esports,EDward Gaming,"killjoy,neon,omen,sova,viper",5,True
china_stage_1,HAVEN,china_stage_1_haven_edward_gaming_xi_lai_gaming,Xi Lai Gaming,EDward Gaming,"killjoy,neon,omen,sova,viper",5,True
china_stage_1,HAVEN,china_stage_1_haven_nova_esports_xi_lai_gaming,Xi Lai Gaming,Nova Esports,"killjoy,neon,omen,sova,viper",5,True
china_stage_1,LOTUS,china_stage_1_lotus_all_gamers_bilibili_gaming,All Gamers,Bilibili Gaming,"cypher,fade,neon,omen,waylay",5,True
china_stage_1,LOTUS,china_stage_1_lotus_all_gamers_jdg_esports,All Gamers,JDG Esports,"cypher,fade,neon,omen,waylay",5,True
china_stage_1,LOTUS,china_stage_1_lotus_all_gamers_titan_esports_club,All Gamers,Titan Esports Club,"cypher,fade,neon,omen,waylay",5,True
china_stage_1,LOTUS,china_stage_1_lotus_all_gamers_xi_lai_gaming,All Gamers,Xi Lai Gaming,"cypher,fade,neon,omen,waylay",5,True
china_stage_1,LOTUS,china_stage_1_lotus_all_gamers_bilibili_gaming,Bilibili Gaming,All Gamers,"fade,killjoy,omen,raze,viper",5,True
china_stage_1,LOTUS,china_stage_1_lotus_bilibili_gaming_funplus_phoenix,Bilibili Gaming,FunPlus Phoenix,"fade,killjoy,omen,raze,viper",5,True
china_stage_1,LOTUS,china_stage_1_lotus_dragon_ranger_gaming_edward_gaming,Dragon Ranger Gaming,EDward Gaming,"cypher,neon,omen,skye,waylay",5,True
china_stage_1,LOTUS,china_stage_1_lotus_dragon_ranger_gaming_trace_esports,Dragon Ranger Gaming,Trace Esports,"cypher,neon,omen,skye,waylay",5,True
china_stage_1,LOTUS,china_stage_1_lotus_dragon_ranger_gaming_wolves_esports,Dragon Ranger Gaming,Wolves Esports,"cypher,neon,omen,skye,waylay",5,True
china_stage_1,LOTUS,china_stage_1_lotus_dragon_ranger_gaming_xi_lai_gaming,Dragon Ranger Gaming,Xi Lai Gaming,"miks,neon,omen,skye,waylay",5,True
china_stage_1,LOTUS,china_stage_1_lotus_dragon_ranger_gaming_edward_gaming,EDward Gaming,Dragon Ranger Gaming,"cypher,fade,omen,phoenix,raze",5,True
china_stage_1,LOTUS,china_stage_1_lotus_edward_gaming_trace_esports,EDward Gaming,Trace Esports,"cypher,fade,omen,phoenix,raze",5,True
china_stage_1,LOTUS,china_stage_1_lotus_edward_gaming_wolves_esports,EDward Gaming,Wolves Esports,"cypher,fade,omen,phoenix,raze",5,True
china_stage_1,LOTUS,china_stage_1_lotus_edward_gaming_xi_lai_gaming,EDward Gaming,Xi Lai Gaming,"cypher,fade,omen,phoenix,raze",5,True
china_stage_1,LOTUS,china_stage_1_lotus_bilibili_gaming_funplus_phoenix,FunPlus Phoenix,Bilibili Gaming,"fade,neon,omen,viper,waylay",5,True
china_stage_1,LOTUS,china_stage_1_lotus_funplus_phoenix_jdg_esports,FunPlus Phoenix,JDG Esports,"fade,neon,omen,viper,waylay",5,True
china_stage_1,LOTUS,china_stage_1_lotus_all_gamers_jdg_esports,JDG Esports,All Gamers,"fade,killjoy,omen,raze,viper",5,True
