map,agent_a,agent_b,pair_picks,teams_count,events_count,total_compositions,pair_pick_rate,agent_a_rate,agent_b_rate,synergy_lift,observed
BREEZE,sova,viper,24,26,4,48,0.5,0.875,0.875,0.653,True
BREEZE,skye,viper,4,3,2,48,0.0833,0.1458,0.875,0.653,True
BREEZE,astra,viper,9,8,3,48,0.1875,0.3958,0.875,0.541,True
BREEZE,sova,waylay,4,2,1,48,0.0833,0.875,0.2083,0.457,True
BREEZE,jett,neon,6,5,3,48,0.125,0.5,0.625,0.4,True
BREEZE,kayo,neon,4,3,2,48,0.0833,0.3958,0.625,0.337,True
FRACTURE,astra,waylay,4,2,2,54,0.0741,0.0926,0.537,1.49,True
FRACTURE,astra,tejo,3,2,2,54,0.0556,0.0926,0.4074,1.473,True
FRACTURE,skye,veto,5,4,4,54,0.0926,0.3889,0.1667,1.428,True
FRACTURE,breach,veto,5,3,3,54,0.0926,0.4259,0.1667,1.304,True
FRACTURE,breach,tejo,11,9,3,54,0.2037,0.4259,0.4074,1.174,True
FRACTURE,breach,raze,5,5,2,54,0.0926,0.4259,0.1852,1.174,True
FRACTURE,neon,raze,9,6,2,54,0.1667,0.8704,0.1852,1.034,True
FRACTURE,neon,veto,8,6,4,54,0.1481,0.8704,0.1667,1.021,True
FRACTURE,brimstone,raze,9,7,2,54,0.1667,0.8889,0.1852,1.012,True
FRACTURE,skye,waylay,11,6,2,54,0.2037,0.3889,0.537,0.975,True
FRACTURE,cypher,skye,13,8,3,54,0.2407,0.6481,0.3889,0.955,True
FRACTURE,cypher,waylay,17,9,2,54,0.3148,0.6481,0.537,0.905,True
FRACTURE,neon,skye,16,12,4,54,0.2963,0.8704,0.3889,0.875,True
FRACTURE,brimstone,veto,7,5,4,54,0.1296,0.8889,0.1667,0.875,True
FRACTURE,brimstone,skye,16,11,4,54,0.2963,0.8889,0.3889,0.857,True
FRACTURE,cypher,tejo,12,10,3,54,0.2222,0.6481,0.4074,0.842,True
FRACTURE,breach,brimstone,17,16,4,54,0.3148,0.4259,0.8889,0.832,True
FRACTURE,brimstone,cypher,24,18,3,54,0.4444,0.8889,0.6481,0.771,True
FRACTURE,cypher,raze,5,4,2,54,0.0926,0.6481,0.1852,0.771,True
FRACTURE,brimstone,tejo,15,14,4,54,0.2778,0.8889,0.4074,0.767,True
FRACTURE,tejo,waylay,9,5,3,54,0.1667,0.4074,0.537,0.762,True
FRACTURE,cypher,neon,23,18,3,54,0.4259,0.6481,0.8704,0.755,True
FRACTURE,breach,cypher,11,9,3,54,0.2037,0.4259,0.6481,0.738,True
FRACTURE,brimstone,waylay,19,11,3,54,0.3519,0.8889,0.537,0.737,True
FRACTURE,neon,tejo,14,13,4,54,0.2593,0.8704,0.4074,0.731,True
FRACTURE,breach,neon,14,14,4,54,0.2593,0.4259,0.8704,0.699,True
FRACTURE,astra,neon,3,2,2,54,0.0556,0.0926,0.8704,0.689,True
FRACTURE,fade,neon,4,3,1,54,0.0741,0.1296,0.8704,0.657,True
FRACTURE,breach,waylay,8,5,3,54,0.1481,0.4259,0.537,0.648,True
FRACTURE,brimstone,neon,27,25,4,54,0.5,0.8889,0.8704,0.646,True
FRACTURE,neon,waylay,16,11,3,54,0.2963,0.8704,0.537,0.634,True
FRACTURE,brimstone,fade,3,2,1,54,0.0556,0.8889,0.1296,0.482,True
FRACTURE,skye,tejo,3,4,3,54,0.0556,0.3889,0.4074,0.351,True
HAVEN,astra,chamber,5,5,2,78,0.0641,0.0641,0.1795,5.571,True
HAVEN,deadlock,skye,4,3,1,78,0.0513,0.0513,0.1795,5.569,True
HAVEN,deadlock,waylay,4,3,1,78,0.0513,0.0513,0.2179,4.588,True
HAVEN,skye,waylay,8,5,2,78,0.1026,0.1795,0.2179,2.622,True
HAVEN,killjoy,viper,14,11,4,78,0.1795,0.2564,0.2692,2.6,True
HAVEN,astra,phoenix,5,5,2,78,0.0641,0.0641,0.3846,2.6,True
HAVEN,chamber,fade,5,3,3,78,0.0641,0.1795,0.1538,2.322,True
HAVEN,fade,phoenix,10,6,4,78,0.1282,0.1538,0.3846,2.167,True
HAVEN,cypher,deadlock,4,3,1,78,0.0513,0.5128,0.0513,1.949,True
HAVEN,chamber,phoenix,9,9,3,78,0.1154,0.1795,0.3846,1.671,True
HAVEN,cypher,waylay,14,11,2,78,0.1795,0.5128,0.2179,1.606,True
HAVEN,breach,sova,3,2,2,78,0.0385,0.0385,0.6667,1.498,True
HAVEN,cypher,jett,6,5,2,78,0.0769,0.5128,0.1154,1.3,True
HAVEN,sova,viper,18,13,4,78,0.2308,0.6667,0.2692,1.286,True
HAVEN,killjoy,sova,16,13,4,78,0.2051,0.2564,0.6667,1.2,True
HAVEN,chamber,skye,3,2,1,78,0.0385,0.1795,0.1795,1.194,True
HAVEN,cypher,skye,8,6,2,78,0.1026,0.5128,0.1795,1.114,True
HAVEN,astra,neon,5,5,2,78,0.0641,0.0641,0.8974,1.114,True
HAVEN,jett,omen,9,8,3,78,0.1154,0.1154,0.9359,1.068,True
HAVEN,deadlock,omen,4,3,1,78,0.0513,0.0513,0.9359,1.068,True
HAVEN,breach,omen,3,2,2,78,0.0385,0.0385,0.9359,1.067,True
HAVEN,neon,viper,19,14,4,78,0.2436,0.8974,0.2692,1.008,True
HAVEN,killjoy,neon,18,14,4,78,0.2308,0.2564,0.8974,1.003,True
HAVEN,omen,viper,19,14,4,78,0.2436,0.9359,0.2692,0.967,True
HAVEN,killjoy,omen,18,14,4,78,0.2308,0.2564,0.9359,0.962,True
HAVEN,chamber,neon,12,11,4,78,0.1538,0.1795,0.8974,0.955,True
HAVEN,omen,waylay,15,12,3,78,0.1923,0.9359,0.2179,0.943,True
HAVEN,astra,sova,3,3,2,78,0.0385,0.0641,0.6667,0.9,True
HAVEN,fade,omen,10,6,4,78,0.1282,0.1538,0.9359,0.891,True
HAVEN,cypher,sova,23,17,4,78,0.2949,0.5128,0.6667,0.862,True
HAVEN,neon,phoenix,23,19,4,78,0.2949,0.8974,0.3846,0.854,True
HAVEN,omen,skye,11,8,3,78,0.141,0.9359,0.1795,0.839,True
HAVEN,fade,neon,9,6,4,78,0.1154,0.1538,0.8974,0.836,True
HAVEN,jett,sova,5,4,2,78,0.0641,0.1154,0.6667,0.833,True
HAVEN,omen,vyse,3,3,2,78,0.0385,0.9359,0.0513,0.801,True
HAVEN,neon,skye,10,6,3,78,0.1282,0.8974,0.1795,0.796,True
HAVEN,cypher,phoenix,12,10,3,78,0.1538,0.5128,0.3846,0.78,True
HAVEN,cypher,omen,29,24,4,78,0.3718,0.5128,0.9359,0.775,True
