event,map,team,opponent,agent
americas_stage_1,PEARL,Evil Geniuses,FURIA,astra
americas_stage_1,PEARL,Evil Geniuses,FURIA,killjoy
americas_stage_1,PEARL,Evil Geniuses,FURIA,waylay
americas_stage_1,PEARL,Cloud9,LEVIATÁN,neon
americas_stage_1,PEARL,Cloud9,LEVIATÁN,astra
americas_stage_1,PEARL,Cloud9,LEVIATÁN,chamber
americas_stage_1,PEARL,Cloud9,LEVIATÁN,skye
americas_stage_1,PEARL,Cloud9,LEVIATÁN,tejo
americas_stage_1,PEARL,Cloud9,ENVY,neon
americas_stage_1,PEARL,Cloud9,ENVY,vyse
americas_stage_1,PEARL,Cloud9,ENVY,astra
americas_stage_1,PEARL,Cloud9,ENVY,skye
americas_stage_1,PEARL,Cloud9,ENVY,tejo
americas_stage_1,PEARL,NRG,FURIA,sova
americas_stage_1,PEARL,NRG,FURIA,astra
americas_stage_1,PEARL,NRG,FURIA,killjoy
americas_stage_1,PEARL,NRG,FURIA,tejo
americas_stage_1,PEARL,NRG,FURIA,waylay
americas_stage_1,PEARL,NRG,100 Thieves,neon
americas_stage_1,PEARL,NRG,100 Thieves,sova
americas_stage_1,PEARL,NRG,100 Thieves,astra
americas_stage_1,PEARL,NRG,100 Thieves,killjoy
americas_stage_1,PEARL,NRG,100 Thieves,tejo
americas_stage_1,BIND,ENVY,LEVIATÁN,neon
americas_stage_1,BIND,ENVY,LEVIATÁN,viper
americas_stage_1,BIND,ENVY,LEVIATÁN,chamber
americas_stage_1,BIND,ENVY,LEVIATÁN,skye
americas_stage_1,BIND,ENVY,LEVIATÁN,brimstone
americas_stage_1,BIND,G2 Esports,LEVIATÁN,viper
americas_stage_1,BIND,G2 Esports,LEVIATÁN,fade
americas_stage_1,BIND,G2 Esports,LEVIATÁN,vyse
americas_stage_1,BIND,G2 Esports,LEVIATÁN,raze
americas_stage_1,BIND,G2 Esports,LEVIATÁN,brimstone
americas_stage_1,BIND,LEVIATÁN,G2 Esports,neon
americas_stage_1,BIND,LEVIATÁN,G2 Esports,viper
americas_stage_1,BIND,LEVIATÁN,G2 Esports,phoenix
americas_stage_1,BIND,LEVIATÁN,G2 Esports,skye
americas_stage_1,BIND,LEVIATÁN,G2 Esports,brimstone
americas_stage_1,BIND,LEVIATÁN,ENVY,neon
americas_stage_1,BIND,LEVIATÁN,ENVY,viper
americas_stage_1,BIND,LEVIATÁN,ENVY,phoenix
americas_stage_1,BIND,LEVIATÁN,ENVY,skye
americas_stage_1,BIND,LEVIATÁN,ENVY,brimstone
americas_stage_1,FRACTURE,ENVY,LEVIATÁN,neon
americas_stage_1,FRACTURE,ENVY,LEVIATÁN,skye
americas_stage_1,FRACTURE,ENVY,LEVIATÁN,brimstone
americas_stage_1,FRACTURE,ENVY,LEVIATÁN,veto
americas_stage_1,FRACTURE,ENVY,LEVIATÁN,breach
americas_stage_1,FRACTURE,LEVIATÁN,ENVY,neon
americas_stage_1,FRACTURE,LEVIATÁN,ENVY,tejo
americas_stage_1,FRACTURE,LEVIATÁN,ENVY,brimstone
americas_stage_1,FRACTURE,LEVIATÁN,ENVY,waylay
americas_stage_1,FRACTURE,LEVIATÁN,ENVY,breach
china_stage_1,LOTUS,All Gamers,Titan Esports Club,neon
china_stage_1,LOTUS,All Gamers,Titan Esports Club,waylay
china_stage_1,LOTUS,All Gamers,Titan Esports Club,omen
china_stage_1,LOTUS,All Gamers,Titan Esports Club,cypher
china_stage_1,LOTUS,All Gamers,Titan Esports Club,fade
china_stage_1,LOTUS,All Gamers,JDG Esports,neon
china_stage_1,LOTUS,All Gamers,JDG Esports,waylay
china_stage_1,LOTUS,All Gamers,JDG Esports,omen
china_stage_1,LOTUS,All Gamers,JDG Esports,cypher
china_stage_1,LOTUS,All Gamers,JDG Esports,fade
china_stage_1,LOTUS,All Gamers,Bilibili Gaming,neon
china_stage_1,LOTUS,All Gamers,Bilibili Gaming,waylay
china_stage_1,LOTUS,All Gamers,Bilibili Gaming,omen
china_stage_1,LOTUS,All Gamers,Bilibili Gaming,cypher
china_stage_1,LOTUS,All Gamers,Bilibili Gaming,fade
china_stage_1,LOTUS,All Gamers,Xi Lai Gaming,neon
china_stage_1,LOTUS,All Gamers,Xi Lai Gaming,waylay
china_stage_1,LOTUS,All Gamers,Xi Lai Gaming,omen
china_stage_1,LOTUS,All Gamers,Xi Lai Gaming,cypher
china_stage_1,LOTUS,All Gamers,Xi Lai Gaming,fade
china_stage_1,LOTUS,Xi Lai Gaming,Dragon Ranger Gaming,neon
china_stage_1,LOTUS,Xi Lai Gaming,Dragon Ranger Gaming,waylay
china_stage_1,LOTUS,Xi Lai Gaming,Dragon Ranger Gaming,viper
china_stage_1,LOTUS,Xi Lai Gaming,Dragon Ranger Gaming,omen
china_stage_1,LOTUS,Xi Lai Gaming,Dragon Ranger Gaming,skye
china_stage_1,LOTUS,Xi Lai Gaming,Trace Esports,neon
china_stage_1,LOTUS,Xi Lai Gaming,Trace Esports,waylay
china_stage_1,LOTUS,Xi Lai Gaming,Trace Esports,viper
china_stage_1,LOTUS,Xi Lai Gaming,Trace Esports,omen
china_stage_1,LOTUS,Xi Lai Gaming,Trace Esports,skye
china_stage_1,LOTUS,Xi Lai Gaming,Wolves Esports,neon
china_stage_1,LOTUS,Xi Lai Gaming,Wolves Esports,waylay
china_stage_1,LOTUS,Xi Lai Gaming,Wolves Esports,viper
china_stage_1,LOTUS,Xi Lai Gaming,Wolves Esports,omen
china_stage_1,LOTUS,Xi Lai Gaming,Wolves Esports,skye
china_stage_1,LOTUS,Xi Lai Gaming,EDward Gaming,neon
china_stage_1,LOTUS,Xi Lai Gaming,EDward Gaming,waylay
china_stage_1,LOTUS,Xi Lai Gaming,EDward Gaming,viper
china_stage_1,LOTUS,Xi Lai Gaming,EDward Gaming,omen
china_stage_1,LOTUS,Xi Lai Gaming,EDward Gaming,skye
china_stage_1,LOTUS,Xi Lai Gaming,All Gamers,neon
china_stage_1,LOTUS,Xi Lai Gaming,All Gamers,waylay
china_stage_1,LOTUS,Xi Lai Gaming,All Gamers,viper
china_stage_1,LOTUS,Xi Lai Gaming,All Gamers,omen
china_stage_1,LOTUS,Xi Lai Gaming,All Gamers,skye
china_stage_1,LOTUS,EDward Gaming,Wolves Esports,omen
china_stage_1,LOTUS,EDward Gaming,Wolves Esports,cypher
china_stage_1,LOTUS,EDward Gaming,Wolves Esports,fade
china_stage_1,LOTUS,EDward Gaming,Wolves Esports,phoenix
china_stage_1,LOTUS,EDward Gaming,Wolves Esports,raze
china_stage_1,LOTUS,EDward Gaming,Trace Esports,omen
china_stage_1,LOTUS,EDward Gaming,Trace Esports,cypher
china_stage_1,LOTUS,EDward Gaming,Trace Esports,fade
china_stage_1,LOTUS,EDward Gaming,Trace Esports,phoenix
china_stage_1,LOTUS,EDward Gaming,Trace Esports,raze
china_stage_1,LOTUS,EDward Gaming,Dragon Ranger Gaming,omen
china_stage_1,LOTUS,EDward Gaming,Dragon Ranger Gaming,cypher
china_stage_1,LOTUS,EDward Gaming,Dragon Ranger Gaming,fade
china_stage_1,LOTUS,EDward Gaming,Dragon Ranger Gaming,phoenix
china_stage_1,LOTUS,EDward Gaming,Dragon Ranger Gaming,raze
china_stage_1,LOTUS,EDward Gaming,Xi Lai Gaming,omen
china_stage_1,LOTUS,EDward Gaming,Xi Lai Gaming,cypher
china_stage_1,LOTUS,EDward Gaming,Xi Lai Gaming,fade
china_stage_1,LOTUS,EDward Gaming,Xi Lai Gaming,phoenix
china_stage_1,LOTUS,EDward Gaming,Xi Lai Gaming,raze
china_stage_1,LOTUS,Dragon Ranger Gaming,Xi Lai Gaming,neon
china_stage_1,LOTUS,Dragon Ranger Gaming,Xi Lai Gaming,waylay
china_stage_1,LOTUS,Dragon Ranger Gaming,Xi Lai Gaming,omen
china_stage_1,LOTUS,Dragon Ranger Gaming,Xi Lai Gaming,skye
china_stage_1,LOTUS,Dragon Ranger Gaming,Xi Lai Gaming,miks
china_stage_1,LOTUS,Dragon Ranger Gaming,Wolves Esports,neon
china_stage_1,LOTUS,Dragon Ranger Gaming,Wolves Esports,waylay
china_stage_1,LOTUS,Dragon Ranger Gaming,Wolves Esports,omen
china_stage_1,LOTUS,Dragon Ranger Gaming,Wolves Esports,skye
china_stage_1,LOTUS,Dragon Ranger Gaming,Wolves Esports,cypher
china_stage_1,LOTUS,Dragon Ranger Gaming,EDward Gaming,neon
china_stage_1,LOTUS,Dragon Ranger Gaming,EDward Gaming,waylay
