map,agent,maps_played,pick_rate,pick_rate_from_comps,sample_reliability_score,global_pick_rate,local_pick_delta,cross_map_stability_score,map_dependence_score,meta_presence_score,agent_meta_label,tier_score,tier
Fracture,kayo,27.0,0.037037037037037,,0.7746,0.0654597701149425,-0.0284,0.6782,-0.038,0.2666,situational_pick,0.2666,situational_pick
Fracture,harbor,27.0,0.0,,0.7746,0.0506896551724138,-0.0507,0.7246,-0.0678,0.2611,situational_pick,0.2611,situational_pick
Fracture,killjoy,27.0,0.0366666666666666,,0.7746,0.1355316091954023,-0.0989,0.6283,-0.1323,0.2565,situational_pick,0.2565,situational_pick
Fracture,phoenix,27.0,0.0177777777777777,,0.7746,0.1569827586206896,-0.1392,0.6265,-0.1862,0.2486,situational_pick,0.2486,situational_pick
Fracture,jett,27.0,0.0,,0.7746,0.0925143678160919,-0.0925,0.6011,-0.1237,0.2364,situational_pick,0.2364,situational_pick
Fracture,fade,27.0,0.1296296296296296,,0.7746,0.3588218390804598,-0.2292,0.2934,-0.3065,0.2267,situational_pick,0.2267,situational_pick
Fracture,astra,27.0,0.0911111111111111,,0.7746,0.2522701149425287,-0.1612,0.2154,-0.2156,0.1957,low_sample_signal,0.1957,low_sample_signal
Fracture,sova,27.0,0.0,,0.7746,0.2427011494252873,-0.2427,0.1719,-0.3246,0.1506,low_sample_signal,0.1506,low_sample_signal
Fracture,viper,27.0,0.0185185185185185,,0.7746,0.4952011494252873,-0.4767,0.0862,-0.6376,0.1408,low_sample_signal,0.1408,low_sample_signal
Fracture,omen,27.0,0.0185185185185185,,0.7746,0.5063362068965518,-0.4878,0.0005,-0.6524,0.1237,low_sample_signal,0.1237,low_sample_signal
Haven,neon,39.0,0.8974358974358975,,0.9309,0.8105747126436783,0.0869,0.7902,0.1162,0.6566,global_meta_core,0.6566,global_meta_core
Haven,omen,39.0,0.9356410256410256,,0.9309,0.5063362068965518,0.4293,0.0005,0.5742,0.514,map_specialist,0.514,map_specialist
Haven,sova,39.0,0.6653846153846154,,0.9309,0.2427011494252873,0.4227,0.1719,0.5653,0.4402,map_specialist,0.4402,map_specialist
Haven,cypher,39.0,0.5135897435897435,,0.9309,0.233735632183908,0.2799,0.4393,0.3743,0.4329,situational_pick,0.4329,situational_pick
Haven,phoenix,39.0,0.3843589743589743,,0.9309,0.1569827586206896,0.2274,0.6265,0.3041,0.4187,stable_pick,0.4187,stable_pick
Haven,killjoy,39.0,0.2584615384615385,,0.9309,0.1355316091954023,0.1229,0.6283,0.1644,0.3687,situational_pick,0.3687,situational_pick
Haven,chamber,39.0,0.1825641025641025,,0.9309,0.1258908045977011,0.0567,0.7275,0.0758,0.3582,situational_pick,0.3582,situational_pick
Haven,waylay,39.0,0.2197435897435897,,0.9309,0.3605603448275862,-0.1408,0.6447,-0.1883,0.3565,situational_pick,0.3565,situational_pick
Haven,deadlock,39.0,0.0507692307692307,,0.9309,0.0242097701149425,0.0266,0.9554,0.0356,0.351,situational_pick,0.351,situational_pick
Haven,clove,39.0,0.0,,0.9309,0.0,0.0,1.0,0.0,0.3396,situational_pick,0.3396,situational_pick
Haven,reyna,39.0,0.0,,0.9309,0.0,0.0,1.0,0.0,0.3396,situational_pick,0.3396,situational_pick
Haven,yoru,39.0,0.0,,0.9309,0.0022126436781609,-0.0022,0.9858,-0.0029,0.3368,situational_pick,0.3368,situational_pick
Haven,miks,39.0,0.0,,0.9309,0.0039942528735632,-0.004,0.9826,-0.0053,0.3362,situational_pick,0.3362,situational_pick
Haven,sage,39.0,0.0,,0.9309,0.0137643678160919,-0.0138,0.9667,-0.0185,0.333,situational_pick,0.333,situational_pick
Haven,iso,39.0,0.0,,0.9309,0.0091666666666666,-0.0092,0.9483,-0.0123,0.3293,situational_pick,0.3293,situational_pick
Haven,gekko,39.0,0.0,,0.9309,0.0085632183908045,-0.0086,0.9428,-0.0115,0.3282,situational_pick,0.3282,situational_pick
Haven,veto,39.0,0.0141025641025641,,0.9309,0.0478304597701149,-0.0337,0.8683,-0.0451,0.3189,situational_pick,0.3189,situational_pick
Haven,vyse,39.0,0.053076923076923,,0.9309,0.123721264367816,-0.0706,0.7524,-0.0944,0.3113,situational_pick,0.3113,situational_pick
Haven,jett,39.0,0.1138461538461538,,0.9309,0.0925143678160919,0.0213,0.6011,0.0285,0.3054,situational_pick,0.3054,situational_pick
Haven,harbor,39.0,0.0,,0.9309,0.0506896551724138,-0.0507,0.7246,-0.0678,0.2846,situational_pick,0.2846,situational_pick
Haven,breach,39.0,0.0392307692307692,,0.9309,0.0576867816091954,-0.0185,0.6438,-0.0247,0.2841,situational_pick,0.2841,situational_pick
Haven,skye,39.0,0.1776923076923076,,0.9309,0.3345689655172413,-0.1569,0.3435,-0.2098,0.2794,situational_pick,0.2794,situational_pick
Haven,kayo,39.0,0.0,,0.9309,0.0654597701149425,-0.0655,0.6782,-0.0876,0.2753,situational_pick,0.2753,situational_pick
Haven,tejo,39.0,0.0141025641025641,,0.9309,0.095301724137931,-0.0812,0.6285,-0.1086,0.271,situational_pick,0.271,situational_pick
Haven,viper,39.0,0.2687179487179487,,0.9309,0.4952011494252873,-0.2265,0.0862,-0.3029,0.2644,situational_pick,0.2644,situational_pick
Haven,fade,39.0,0.1546153846153846,,0.9309,0.3588218390804598,-0.2042,0.2934,-0.2731,0.2602,situational_pick,0.2602,situational_pick
Haven,raze,39.0,0.0,,0.9309,0.1724425287356322,-0.1724,0.6003,-0.2306,0.2597,situational_pick,0.2597,situational_pick
Haven,astra,39.0,0.0643589743589743,,0.9309,0.2522701149425287,-0.1879,0.2154,-0.2513,0.2085,situational_pick,0.2085,situational_pick
Haven,brimstone,39.0,0.0,,0.9309,0.2241522988505747,-0.2242,0.0,-0.2999,0.1396,low_sample_signal,0.1396,low_sample_signal
Lotus,neon,45.0,0.7786666666666668,,1.0,0.8105747126436783,-0.0319,0.7902,-0.0427,0.6195,global_meta_core,0.6195,global_meta_core
Lotus,fade,45.0,0.8786666666666666,,1.0,0.3588218390804598,0.5198,0.2934,0.6952,0.5601,map_specialist,0.5601,map_specialist
Lotus,omen,45.0,1.0,,1.0,0.5063362068965518,0.4937,0.0005,0.6603,0.5501,map_specialist,0.5501,map_specialist
Lotus,raze,45.0,0.3993333333333333,,1.0,0.1724425287356322,0.2269,0.6003,0.3035,0.4298,stable_pick,0.4298,stable_pick
