team,map,agents,times_used,teams_using_same_comp,maps_seen,composition_frequency,composition_uniqueness_score,composition_stability_label,sample_reliability_score
Gentle Mates,HAVEN,"fade,neon,omen,veto,viper",1,2,2,0.5,0.9231,team_signature_comp,0.4472
Gentle Mates,LOTUS,"fade,neon,omen,raze,viper",2,5,2,1.0,0.6923,standard_meta_comp,0.6325
Gentle Mates,PEARL,"astra,cypher,fade,neon,phoenix",3,4,1,1.0,0.7692,standard_meta_comp,0.7746
Global Esports,BIND,"brimstone,deadlock,gekko,kayo,neon",1,1,1,1.0,1.0,team_signature_comp,0.4472
Global Esports,FRACTURE,"breach,brimstone,deadlock,raze,tejo",1,1,1,1.0,1.0,team_signature_comp,0.4472
Global Esports,HAVEN,"cypher,deadlock,omen,skye,waylay",1,3,2,1.0,0.8462,standard_meta_comp,0.4472
Global Esports,LOTUS,"astra,deadlock,fade,omen,raze",1,1,1,1.0,1.0,team_signature_comp,0.4472
Global Esports,PEARL,"astra,chamber,fade,neon,tejo",1,1,1,1.0,1.0,team_signature_comp,0.4472
Global Esports,SPLIT,"fade,omen,raze,veto,viper",2,3,2,0.6667,0.8462,standard_meta_comp,0.6325
Global Esports,SPLIT,"fade,neon,omen,viper,vyse",1,8,2,0.3333,0.4615,standard_meta_comp,0.4472
JDG Esports,BIND,"brimstone,neon,omen,skye,waylay",2,1,1,1.0,1.0,team_signature_comp,0.6325
JDG Esports,FRACTURE,"brimstone,cypher,neon,skye,waylay",2,7,2,0.6667,0.5385,standard_meta_comp,0.6325
JDG Esports,FRACTURE,"breach,brimstone,cypher,neon,tejo",1,4,1,0.3333,0.7692,standard_meta_comp,0.4472
JDG Esports,HAVEN,"cypher,neon,omen,sova,waylay",3,6,1,0.6,0.6154,standard_meta_comp,0.7746
JDG Esports,HAVEN,"chamber,cypher,neon,omen,sova",1,1,1,0.2,1.0,rare_comp,0.4472
JDG Esports,HAVEN,"killjoy,neon,omen,sova,viper",1,11,1,0.2,0.2308,standard_meta_comp,0.4472
JDG Esports,LOTUS,"fade,killjoy,omen,raze,viper",2,2,1,1.0,0.9231,team_signature_comp,0.6325
JDG Esports,PEARL,"astra,fade,killjoy,neon,phoenix",1,5,1,1.0,0.6923,standard_meta_comp,0.4472
JDG Esports,SPLIT,"fade,omen,raze,viper,vyse",1,3,2,1.0,0.8462,standard_meta_comp,0.4472
KRÜ Esports,BREEZE,"chamber,neon,omen,sova,viper",1,3,2,1.0,0.8462,standard_meta_comp,0.4472
KRÜ Esports,HAVEN,"cypher,fade,neon,omen,phoenix",1,2,2,1.0,0.9231,team_signature_comp,0.4472
KRÜ Esports,LOTUS,"fade,neon,omen,viper,vyse",3,8,2,1.0,0.4615,standard_meta_comp,0.7746
KRÜ Esports,SPLIT,"fade,neon,omen,viper,vyse",1,8,2,1.0,0.4615,standard_meta_comp,0.4472
Karmine Corp,BIND,"brimstone,gekko,raze,skye,viper",1,1,1,1.0,1.0,team_signature_comp,0.4472
Karmine Corp,FRACTURE,"astra,fade,kayo,vyse,waylay",2,1,1,1.0,1.0,team_signature_comp,0.6325
Karmine Corp,HAVEN,"cypher,fade,neon,omen,phoenix",3,2,2,0.75,0.9231,team_signature_comp,0.7746
Karmine Corp,HAVEN,"fade,jett,omen,tejo,vyse",1,1,1,0.25,1.0,rare_comp,0.4472
Karmine Corp,LOTUS,"cypher,fade,neon,omen,phoenix",1,2,2,0.5,0.9231,team_signature_comp,0.4472
Karmine Corp,LOTUS,"fade,neon,omen,vyse,waylay",1,2,1,0.5,0.9231,team_signature_comp,0.4472
Karmine Corp,PEARL,"astra,fade,jett,omen,veto",1,1,1,0.5,1.0,team_signature_comp,0.4472
Karmine Corp,PEARL,"astra,fade,tejo,vyse,waylay",1,1,1,0.5,1.0,team_signature_comp,0.4472
Kiwoom DRX,FRACTURE,"breach,brimstone,cypher,tejo,waylay",2,2,1,0.6667,0.9231,team_signature_comp,0.6325
Kiwoom DRX,FRACTURE,"breach,brimstone,cypher,neon,raze",1,3,1,0.3333,0.8462,map_specific_comp,0.4472
Kiwoom DRX,HAVEN,"chamber,jett,neon,omen,skye",1,1,1,0.3333,1.0,map_specific_comp,0.4472
Kiwoom DRX,HAVEN,"chamber,neon,omen,phoenix,skye",1,1,1,0.3333,1.0,map_specific_comp,0.4472
Kiwoom DRX,HAVEN,"cypher,neon,omen,phoenix,sova",1,8,1,0.3333,0.4615,standard_meta_comp,0.4472
Kiwoom DRX,LOTUS,"chamber,fade,neon,omen,raze",2,1,1,1.0,1.0,team_signature_comp,0.6325
Kiwoom DRX,PEARL,"astra,chamber,fade,neon,phoenix",1,7,2,0.5,0.5385,standard_meta_comp,0.4472
Kiwoom DRX,PEARL,"astra,chamber,jett,neon,skye",1,1,1,0.5,1.0,team_signature_comp,0.4472
LEVIATÁN,BIND,"brimstone,neon,phoenix,skye,viper",2,2,1,1.0,0.9231,team_signature_comp,0.6325
LEVIATÁN,BREEZE,"chamber,neon,omen,sova,viper",1,3,2,1.0,0.8462,standard_meta_comp,0.4472
LEVIATÁN,FRACTURE,"breach,brimstone,neon,tejo,waylay",1,1,1,1.0,1.0,team_signature_comp,0.4472
LEVIATÁN,HAVEN,"astra,chamber,neon,phoenix,sova",1,3,2,1.0,0.8462,standard_meta_comp,0.4472
LEVIATÁN,PEARL,"astra,chamber,neon,phoenix,sova",1,3,2,1.0,0.8462,standard_meta_comp,0.4472
LEVIATÁN,SPLIT,"fade,neon,omen,phoenix,viper",1,1,1,1.0,1.0,team_signature_comp,0.4472
LOUD,BREEZE,"astra,harbor,jett,kayo,sova",1,1,1,1.0,1.0,team_signature_comp,0.4472
